form	lemma	POS	morph
qu'	que	CONsub	MORPH=empty
era	ęser	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
lonc	lọnc	ADVgen	DEGRE=-
cubert	cobrir	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
palma	palma	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	e	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
jonc	junc	ADVgen	MORPH=empty
fon	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
comtessa	comtẹsa	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
nivers	Nivers	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
e	e	CONcoo	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
ges	gẹns	NOMcom	MORPH=empty
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
cabels	cabẹl	NOMcom	NOMB.=s|GENRE=m|CAS=n
pers	pęrs	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
ans	anz	NOMcom	DEGRE=-
son	ęser	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
plus	plus	ADVgen	DEGRE=-
blon	blọn	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
que	que	CONsub	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
es	ęser	PRE.DETdef	DEGRE=-
aurs	aur	ADVgen	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
mais	mais 	CONcoo	MORPH=empty
so	so	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
fon	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=r
sos	sos	PRE	MORPH=empty
meillors	melhọr	ADJqua	NOMB.=s|GENRE=m|CAS=n
thesaurs	tezaur	NOMpro	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	_
aqui	aqui	ADVgen	DEGRE=-
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	ẹn3	PRE	MORPH=empty
es	ęser	PRE.DETdef	DEGRE=-
a	a2	PRE	MORPH=empty
leis	lieis	ADJqua	NOMB.=s|GENRE=m|CAS=n
venguda	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
e	e	CONcoo	MORPH=empty
no	nọṉ	NOMcom	MORPH=empty
fon	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=r
ges	gẹns	NOMcom	MORPH=empty
muda	mut	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
anz	anz	NOMcom	DEGRE=-
hac	avẹr	NOMcom	NOMB.=s|GENRE=m|CAS=r
solaz	solatz	NOMcom	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
bon	bọṉ	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
e	e	CONcoo	MORPH=empty
bel	bęl	ADVgen	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
;	;	PONfbl	_
si	sẹ	ADVgen	DEGRE=-
fes	faire	VERcjg	NOMB.=p|GENRE=f|CAS=r
coissi	coisiṉ	VERppe	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mantel	mantęl	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	_
et	e	CONcoo	MORPH=empty
acoitret	acoltrar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
si	sẹ 	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
desus	desus	ADVgen	DEGRE=-
e	e	CONcoo	MORPH=empty
garet	garar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
cavalliers	cavalier	NOMpro	NOMB.=s|GENRE=m|CAS=n
jus	dejọs	ADVgen	DEGRE=-
.	.	PONfrt	_
jes	gẹns	ADVgen	MORPH=empty
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
reina	regina	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
non	nọṉ	NOMcom	MORPH=empty
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
oblida	oblidar	NOMpro	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
anz	anz	NOMcom	DEGRE=-
fon	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=r
dolenta	dolẹr	ADJqua	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	e	CONcoo	MORPH=empty
marrida	marrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	e	CONcoo	MORPH=empty
dis	dire	NOMcom	NOMB.=p|GENRE=m|CAS=n
:	:	PONfbl	_
«	«	PONpga	MORPH=empty
n'	ẹn2	ADVneg	MORPH=empty
archimbaut	Archimbautz	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
bels	bęl	ADJqua	NOMB.=s|GENRE=m|CAS=n
amix	amic	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
non	nọṉ	NOMcom	MORPH=empty
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
reis	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=n
mout	mọlt 	ADVgen	DEGRE=-
ques	que2	DETint	NOMB.=s|GENRE=m|CAS=n
enix	enic	NOMpro	NOMB.=s|GENRE=m|CAS=n
quan	can	CONsub	MORPH=empty
,	,	PONfbl	_
vesen	vezẹr	NOMcom	MODE=imp|PERS.=2|NOMB.=s
mi	mi	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	_
porta	portar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
seinal	senhal	ADJqua	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
drudaria	drudaria	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
?	?	PONfrt	_
trop	trǫp2	ADVgen	DEGRE=-
i	i	PROadv	MORPH=empty
fail	falhir	NOMcom	NOMB.=s|GENRE=m|CAS=n
vaus	vas2	VERppe	NOMB.=s|GENRE=m|CAS=n
mi	mi	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
e	ẹn	CONcoo	MORPH=empty
vaus	vas2	VERppe	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
eissamen	eisamẹn	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
ver	vẹr	ADVgen	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
en	ẹn3	PRE	MORPH=empty
dic	dire	ADVgen	DEGRE=-
,	,	PONfbl	_
mon	mọn2	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
issien	eisimẹn	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
en	ẹn2	PRE	MORPH=empty
archimbautz	Archimbautz	VERppe	NOMB.=s|GENRE=m|CAS=n
enten	entẹndre	NOMcom	NOMB.=s|GENRE=m|CAS=r
dese	endesẹ	PRE	MORPH=empty
qu'	que2	CONsub	MORPH=empty
il	ela	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
d'	de	PRE	MORPH=empty
aiso	aisso	VERppe	DEGRE=-
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
mescre	mescrẹire	NOMcom	NOMB.=s|GENRE=m|CAS=n
qu'	que	CONsub	MORPH=empty
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
rei	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=r
agues	avẹr	NOMpro	NOMB.=s|GENRE=m|CAS=n
manega	manega	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tramessa	tramẹtre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	_
als	al2	PROper	NOMB.=s|GENRE=m|CAS=n
motz	mot	VERppe	NOMB.=s|GENRE=m|CAS=n
conois	conoiser	VERppe	NOMB.=s|GENRE=m|CAS=r
so	so	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
qu'	que2	CONsub	MORPH=empty
ella	ela	PROper	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
-s	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
pessa	pensar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
et	e	CONcoo	MORPH=empty
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
respondre	respọndre	VERinf	NOMB.=s|GENRE=m|CAS=n
non	nọṉ	NOMcom	MORPH=empty
demora	demorar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
:	:	PONfbl	_
«	«	PONpga	MORPH=empty
dona	dọmna	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
per	per	NOMcom	MORPH=empty
cel	cẹl2	PROdem	NOMB.=s|GENRE=m|CAS=r
ques	que	DETint	NOMB.=s|GENRE=m|CAS=n
hom	ọme	NOMcom	NOMB.=s|GENRE=m|CAS=n
adora	adorar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
non	nọṉ	NOMcom	MORPH=empty
cug	cuidar	NOMcom	NOMB.=s|GENRE=m|CAS=n
que	que2	CONsub	MORPH=empty
-us	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
fassa	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
deissonor	dezonọr	VERcjg	NOMB.=s|GENRE=f|CAS=r
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
reis	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
sen	sentir 	PRE	MORPH=empty
joios	joiọs	VERppe	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
d'	de	PRE	MORPH=empty
amor	amọr	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	_
quar	car3	CONcoo	MORPH=empty
miels	męlhs 	ADVgen	DEGRE=c
ne	ẹn3	CONcoo	MORPH=empty
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
so	so	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
-il	lo3	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
atain	atanher	NOMcom	DEGRE=-
.	.	PONfrt	_
esser	ęser	VERinf	MORPH=empty
ne	ẹn3	CONcoo	MORPH=empty
volgra	volẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sos	sọṉ2	PRE	MORPH=empty
compain	companhọṉ	NOMcom	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	_
que	que2	CONsub	MORPH=empty
per	per	NOMcom	MORPH=empty
deveras	De + verai	ADVgen	DEGRE=-
pogues	podẹr	NOMcom	NOMB.=s|GENRE=m|CAS=n
far	faire	ADVgen	MORPH=empty
so	so	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
qu'	que	CONsub	MORPH=empty
el	el2	PRE.DETdef	PERS.=3|NOMB.=s|GENRE=f|CAS=n
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
per	per	NOMcom	MORPH=empty
joia	jǫia	ADVgen	DEGRE=-
mostrar	mostrar 	NOMcom	MORPH=empty
,	,	PONfbl	_
qu'	que2	CONsub	MORPH=empty
alres	alre	ADVgen	DEGRE=-
non	nọṉ	NOMcom	MORPH=empty
es	ęser	PRE.DETdef	DEGRE=-
mais	mais 	CONcoo	MORPH=empty
plas	plazẹn 	ADVgen	DEGRE=-
deportz	depǫrt	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
«   «   PONpga  MORPH=empty
don	dọn	ADVgen	DEGRE=-
archimbaut	Archimbautz	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
aquest	aquẹst	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
conortz	conǫrt	VERppe	NOMB.=s|GENRE=m|CAS=n
cueig	cuidar	VERppe	NOMB.=s|GENRE=m|CAS=n
eu	eu	PRE.DETdef	NOMB.=s|GENRE=n|CAS=r
ben	bẹṉ	ADVgen	DEGRE=p
que	que2	CONsub	MORPH=empty
sobre	sọbre	NOMcom	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
torn	tornar	NOMcom	NOMB.=s|GENRE=m|CAS=n
anz	anz	NOMcom	DEGRE=-
que	que2	CONsub	MORPH=empty
siu	ęser	VERppe	NOMB.=s|GENRE=m|CAS=n
passat	pasar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
15	@num@	PROper	MORPH=empty
jorn	jọrn	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
«   «   PONpga  MORPH=empty
no	nọṉ	NOMcom	MORPH=empty
i	i	PROadv	MORPH=empty
movas	movẹr 	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
domna	dọmna	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
gelosia	gelozia	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
que	que2	CONsub	MORPH=empty
ja	ja	ADVgen	DEGRE=-
per	per	NOMcom	MORPH=empty
ren	rẹṉ	NOMcom	MODE=imp|PERS.=2|NOMB.=s
non	nọṉ	NOMcom	MORPH=empty
o	ọ2	PROrel	MORPH=empty
seria	ęser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
adonc	adonc	ADVgen	DEGRE=-
ela	ela	ADVgen	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cap	cap	ADVgen	DEGRE=-
secos	socọdre	VERppe	NOMB.=s|GENRE=m|CAS=n
:	:	PONfbl	_
«	«	PONpga	MORPH=empty
dizes	dire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que2	CONsub	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
seres	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=n
gelos	gelọs	VERppe	NOMB.=s|GENRE=m|CAS=n
?	?	PONfrt	_
a	a2	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
fe	fẹ	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
deu	dęu	NOMpro	NOMB.=s|GENRE=m|CAS=r
!	!	PONfrt	_
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
si	si2	ADVgen	DEGRE=-
seres	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
e	e	CONcoo	MORPH=empty
ben	bẹṉ	ADVgen	DEGRE=p
leu	lęu3	NOMcom	NOMB.=s|GENRE=m|CAS=r
razon	razọṉ	NOMcom	NOMB.=p|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
n'	ni	ADVneg	MORPH=empty
aures	avẹr	ADVgen	DEGRE=-
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
«   «   PONpga  MORPH=empty
dona	dọmna	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
e	e	CONcoo	MORPH=empty
per	per	NOMcom	MORPH=empty
que	que2	CONsub	MORPH=empty
o	ọ2	PROrel	MORPH=empty
dizes	dire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
?	?	PONfrt	_
non	nọṉ	NOMcom	MORPH=empty
m'	mi	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
essenes	ensenhar 	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
fe	fẹ	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
que	que2	CONsub	MORPH=empty
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
deves	devẹr	VERcjg	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	_
qu'	que2	CONsub	MORPH=empty
ieu	eu	VERppe	NOMB.=s|GENRE=m|CAS=r
conosc	conoiser	VERppe	MORPH=empty
ben	bẹṉ	ADVgen	DEGRE=p
d'	de	PRE	MORPH=empty
aitals	aital	NOMpro	NOMB.=s|GENRE=m|CAS=n
affars	afaire	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
abtan	ab+tan	NOMcom	NOMB.=p|GENRE=m|CAS=n
fo	ęser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vengutz	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
us	uṉ	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
juglars	joglar	NOMcom	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
dis	dire	NOMcom	NOMB.=p|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
n'	ẹn2	ADVneg	MORPH=empty
archimbaut	Archimbautz	NOMpro	NOMB.=s|GENRE=m|CAS=n
:	:	PONfbl	_
«	«	PONpga	MORPH=empty
bel	bęl	ADVgen	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
sener	senhọr	VERinf	MORPH=empty
,	,	PONfbl	_
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
reis	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=n
vol	volẹr	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ja	ja	ADVgen	DEGRE=-
l'	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
espasa	espaza	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cener	cẹnher	VERinf	MORPH=empty
a	a2	PRE	MORPH=empty
tibaut	Tibaut	NOMpro	NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
comte	cọmte	CONsub	MORPH=empty
de	de	PRE	MORPH=empty
bleis	Bleis	ADJqua	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
tibautz	Tibautz	VERppe	NOMB.=s|GENRE=m|CAS=n
sa	sai	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
trames	tramẹtre	VERppe	NOMB.=p|GENRE=f|CAS=r
el	el2	PRE.DETdef	PERS.=3|NOMB.=s|GENRE=f|CAS=n
meseis	mezẹis	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
sener	senhọr	VERinf	MORPH=empty
,	,	PONfbl	_
si	si	ADVgen	DEGRE=-
-us	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
plas	plazẹr	ADVgen	DEGRE=-
,	,	PONfbl	_
que	que2	CONsub	MORPH=empty
lai	lai	ADVgen	NOMB.=s|GENRE=f|CAS=r
anes	anar	NOMcom	NOMB.=p|GENRE=f|CAS=r
;	;	PONfbl	_
endreh	endrẹch	VERppe	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
s'	sọṉ2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
amor	amọr	NOMcom	NOMB.=s|GENRE=f|CAS=r
non	nọṉ	NOMcom	MORPH=empty
o	ọ2	PROrel	MORPH=empty
laisses	laisar	VERcjg	DEGRE=-
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
en	ẹn2	PRE	MORPH=empty
archimbautz	Archimbautz	VERppe	NOMB.=s|GENRE=m|CAS=n
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
comjat	comjat	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pren	prẹndre	NOMcom	NOMB.=s|GENRE=m|CAS=r
plus	plus	ADVgen	DEGRE=-
iratz	irat	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que2	CONsub	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
fes	faire	VERcjg	NOMB.=p|GENRE=f|CAS=r
parven	parvẹn	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	_
mais	mais 	CONcoo	MORPH=empty
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
bella	bęl	ADVgen	DEGRE=-
res	rẹṉ	ADVgen	DEGRE=-
non	nọṉ	NOMcom	MORPH=empty
sap	saber	PRE	MORPH=empty
ren	rẹṉ	NOMcom	MODE=imp|PERS.=2|NOMB.=s
.	.	PONfrt	_
ai	avẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
!	!	PONfrt	_
qual	cal	PROrel	NOMB.=s|GENRE=m|CAS=r
peccat	pecat	VERcjg	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
qu'	que2	CONsub	MORPH=empty
a	a2	PRE	MORPH=empty
mala	mal	ADVgen	DEGRE=-
fe	fẹ	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
!	!	PONfrt	_
quar	car3	CONcoo	MORPH=empty
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
reina	regina	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tan	tan	ADVgen	DEGRE=-
percaza	percasar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que2	CONsub	MORPH=empty
ja	ja	ADVgen	DEGRE=-
mais	mais 	CONcoo	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
dorma	dormir 	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ni	ni	ADVneg	NOMB.=s|GENRE=m|CAS=n
jaza	jazẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
dons	dọn	ADVgen	DEGRE=-
archimbautz	Archimbautz	VERppe	NOMB.=s|GENRE=m|CAS=n
en	ẹn	PRE	MORPH=empty
sana	saṉ	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pausa	pauza	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
gran	gran 	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
dolor	dolọr	ADJqua	NOMB.=s|GENRE=f|CAS=r
l'	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
a	avẹr	PRE	MORPH=empty
el	ẹn+lo2	PRE.DETdef	PERS.=3|NOMB.=s|GENRE=f|CAS=n
cor	cǫr	NOMcom	MORPH=empty
enclausa	enclaure	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
don	De + ọn	ADVgen	DEGRE=-
non	nọṉ	NOMcom	MORPH=empty
cug	cuidar	NOMcom	NOMB.=s|GENRE=m|CAS=n
que	que2	CONsub	MORPH=empty
ja	ja	ADVgen	DEGRE=-
mais	mais 	CONcoo	MORPH=empty
reveinha	revenir 	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
si	si	ADVgen	DEGRE=-
amors	amọr	NOMcom	NOMB.=s|GENRE=m|CAS=n
garir	garir	VERinf	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
l'	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
en	ẹn3	PRE	MORPH=empty
deinha	denhar 	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
mais	mais 	CONcoo	MORPH=empty
per	per	NOMcom	MORPH=empty
contrari	contrari	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
l'	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
en	ẹn3	PRE	MORPH=empty
garra	garir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
quan	can	CONsub	MORPH=empty
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cujars	cugei	NOMcom	NOMB.=s|GENRE=m|CAS=n
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
averara	averar 	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
.	.	PONfrt	_
quan	can	CONsub	MORPH=empty
fon	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=r
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
rei	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=r
defors	defǫr	ADVgen	DEGRE=-
tornatz	tornar	VERppe	NOMB.=s|GENRE=m|CAS=n
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
coms	cọmte	VERppe	MORPH=empty
tibautz	Tibautz	VERppe	NOMB.=s|GENRE=m|CAS=n
fon	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=r
adobatz	adobar	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
et	e	CONcoo	MORPH=empty
ab	ab	NOMcom	MORPH=empty
lui	lui	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
plus	plus	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
400	@num@	VERppe	NOMB.=s|GENRE=f|CAS=r
que	que	CONsub	MORPH=empty
tut	tọt	ADVgen	NOMB.=s|GENRE=m|CAS=n
son	ęser	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cosin	coziṉ	NOMcom	NOMB.=s|GENRE=m|CAS=r
e	e	CONcoo	MORPH=empty
parent	parẹn	ADJqua	NOMB.=p|GENRE=m|CAS=n
.	.	PONfrt	_
de	de	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
reina	regina	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
es	ęser	PRE.DETdef	DEGRE=-
partitz	partir	VERppe	NOMB.=s|GENRE=m|CAS=n
en	ẹn2	PRE	MORPH=empty
archimbautz	Archimbautz	VERppe	NOMB.=s|GENRE=m|CAS=n
tristz	trist	VERppe	NOMB.=p|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
marritz	marrir	VERppe	NOMB.=s|GENRE=m|CAS=n
car	car3	CONcoo	MORPH=empty
trop	trǫp2	ADVgen	DEGRE=-
l'	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
ac	avẹr	ADVgen	DEGRE=-
dih	dire	VERppe	NOMB.=s|GENRE=m|CAS=n
mala	mal	ADVgen	DEGRE=-
novella	novęl	NOMcom	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	_
pero	pero	NOMcom	NOMB.=s|GENRE=m|CAS=n
un	uṉ	DETndf	NOMB.=s|GENRE=m|CAS=r
